Producto, Volumen mtro3
875 , 0.00029034 
876 , 0.00220500 
877 , 0.00623500 
878 , 0.00403900 
879 , 0.05524500 
880 , 0.38400000 
881 , 1.46259000 
882 , 0.00100000 
883 , 0.00095680 
884 , 0.00052000 
885 , 0.00095680 
886 , 0.00255400 
887 , 0.00100000 
888 , 0.00053478 
889 , 0.00623500 
890 , 0.00214414 
891 , 0.48599800 
892 , 0.00001276 
893 , 1.90800000 
894 , 0.49766600 
895 , 0.01277000 
896 , 0.00112500 
897 , 0.00618500 
898 , 0.91760000 
899 , 0.00642000 
900 , 0.01000000 
901 , 0.74420500 
902 , 0.00095680 
903 , 0.00100000 
904 , 0.04452800 
905 , 0.01919300 
906 , 0.05050000 
907 , 0.00000731 
908 , 0.00690400 
909 , 0.00064600 
910 , 0.00712041 
911 , 0.00159700 
912 , 0.11400000 
913 , 0.01373500 
914 , 0.00057134 
915 , 0.01000000 
916 , 0.00623500 
917 , 0.01000000 
918 , 0.00672900 
919 , 0.00295600 
920 , 0.05300600 
921 , 0.00000200 
922 , 0.91370000 
923 , 0.00095390 
924 , 0.00689300 
925 , 0.65531200 
926 , 0.01728100 
927 , 0.05524500 
928 , 0.02630000 
929 , 0.00001350 
930 , 1.61431182 
931 , 0.01112900 
932 , 0.02980000 
933 , 0.00079200 
934 , 0.00622200 
935 , 0.00004229 
936 , 0.00553700 
937 , 0.02878200 
938 , 0.00351580 
939 , 0.00100000 
940 , 0.11995200 
941 , 0.29626047 
942 , 0.00000379 
943 , 0.00095680 
944 , 0.72300000 
945 , 0.00099773 
946 , 0.21735000 
947 , 0.00063091 
948 , 0.04000000 
949 , 0.01432100 
950 , 0.01123100 
951 , 1.96000000 
952 , 0.00054033 
953 , 0.00125200 
954 , 0.00047400 
955 , 0.00297500 
956 , 0.00715900 
957 , 0.00112500 
958 , 0.00623500 
959 , 0.02878200 
960 , 0.00094812 
961 , 0.00285845 
962 , 0.86818500 
963 , 0.00010000 
964 , 0.00112500 
965 , 0.00040000 
966 , 0.00098800 
967 , 0.16351100 
968 , 0.01373500 
969 , 0.00095680 
970 , 0.00274700 
971 , 0.00622200 
972 , 0.00095680 
973 , 0.00079200 
974 , 0.03795953 
975 , 0.00099580 
976 , 0.00095390 
977 , 0.10704700 
978 , 0.00003394 
979 , 0.13395791 
980 , 0.00100000 
981 , 0.00382140 
982 , 0.00095680 
983 , 0.00093183 
984 , 0.01123100 
985 , 0.00105000 
986 , 0.04930000 
987 , 0.00701300 
988 , 0.16351100 
989 , 0.00052922 
990 , 0.02878200 
991 , 0.00029034 
992 , 0.67774000 
993 , 0.02952600 
994 , 0.21495700 
995 , 0.00892400 
996 , 0.00100000 
997 , 0.83100000 
998 , 0.00622200 
999 , 0.00256800 
1000 , 0.11000000 
1001 , 0.00642000 
1002 , 0.00095680 
1003 , 0.21224313 
1004 , 0.00720000 
1005 , 0.00386800 
1006 , 0.39166253 
1007 , 0.00295600 
1008 , 0.11800000 
1009 , 0.00690400 
1010 , 0.00032200 
1011 , 0.00351580 
1012 , 0.11820000 
1013 , 0.20382264 
1014 , 0.00268870 
1015 , 0.25331800 
1016 , 0.01373500 
1017 , 0.00000660 
1018 , 0.00112500 
1019 , 0.00094812 
1020 , 0.00182600 
1021 , 0.11800000 
1022 , 0.00010000 
1023 , 0.05044900 
1024 , 0.00100000 
1025 , 0.00112500 
1026 , 0.00095680 
1027 , 0.02878200 
1028 , 0.00042600 
1029 , 0.01000000 
1030 , 0.00159700 
1031 , 0.00112500 
1032 , 0.00623500 
1033 , 0.02000000 
1034 , 0.12702616 
1035 , 0.00095680 
1036 , 0.00054000 
1037 , 0.00056000 
1038 , 0.00026600 
1039 , 0.00015121 
1040 , 0.57174000 
1041 , 0.00054033 
1042 , 0.03000000 
1043 , 0.01146429 
1044 , 0.02250300 
1045 , 0.00032200 
1046 , 0.00094812 
1047 , 0.00095390 
1048 , 0.00095680 
1049 , 0.00054000 
1050 , 0.00642000 
1051 , 2.05300000 
1052 , 0.17874800 
1053 , 0.00386800 
1054 , 0.11916700 
1055 , 0.00095680 
1056 , 0.01000000 
1057 , 0.00159700 
1058 , 0.00095680 
1059 , 0.00061100 
1060 , 0.00016600 
1061 , 0.00095680 
1062 , 0.00095390 
1063 , 0.30250000 
1064 , 0.00112500 
1065 , 0.02331000 
1066 , 1.06650000 
1067 , 0.00060100 
1068 , 0.00013200 
1069 , 0.00642000 
1070 , 0.01842676 
1071 , 0.00279300 
1072 , 0.01720200 
1073 , 0.08622500 
1074 , 0.00707480 
1075 , 0.00095680 
1076 , 0.01373500 
1077 , 0.00000508 
1078 , 0.00836071 
1079 , 1.46035000 
1080 , 0.00085200 
1081 , 0.00054000 
1082 , 0.00100000 
1083 , 0.00035347 
1084 , 0.05044900 
1085 , 0.00137200 
1086 , 0.02250300 
1087 , 0.00010000 
1088 , 0.00060100 
1089 , 0.00100000 
1090 , 0.02250300 
1091 , 0.04366100 
1092 , 0.03000000 
1093 , 0.02091200 
1094 , 0.00010000 
1095 , 0.07844938 
1096 , 0.00712041 
1097 , 0.00041411 
1098 , 0.11916700 
1099 , 0.02960000 
1100 , 0.00095680 
1101 , 0.00049945 
1102 , 0.00057134 
1103 , 0.00095680 
1104 , 1.12000000 
1105 , 0.00712000 
1106 , 0.00098800 
1107 , 0.00299700 
1108 , 0.01032407 
1109 , 0.00057302 
1110 , 0.00095680 
1111 , 0.00095390 
1112 , 0.00054000 
1113 , 0.00095680 
1114 , 0.12000000 
1115 , 0.00626130 
1116 , 0.03490400 
1117 , 0.00345244 
1118 , 0.00339400 
1119 , 0.09700000 
1120 , 0.00095680 
1121 , 0.00095680 
1122 , 0.12000000 
1123 , 0.01373500 
1124 , 0.00112500 
1125 , 0.00056000 
1126 , 0.05524500 
1127 , 0.00100000 
1128 , 0.00095680 
1129 , 0.00712041 
1130 , 0.54717000 
1131 , 0.05524500 
1132 , 0.00095680 
1133 , 0.00045600 
1134 , 0.00006890 
1135 , 0.00100000 
1136 , 0.02091200 
1137 , 0.00623500 
1138 , 0.00099580 
1139 , 0.07730000 
1140 , 0.00712041 
1141 , 0.04360000 
1142 , 0.28865747 
1143 , 0.02000000 
1144 , 0.00079200 
1145 , 0.06218105 
1146 , 0.00000600 
1147 , 0.12807800 
1148 , 0.00095680 
1149 , 0.00398400 
1150 , 0.00001610 
1151 , 0.00712041 
1152 , 0.00301700 
1153 , 0.00095680 
1154 , 0.00060300 
1155 , 0.00622200 
1156 , 0.01919300 
1157 , 0.00054000 
1158 , 1.56427000 
1159 , 0.01000000 
1160 , 0.00295600 
1161 , 0.06000000 
1162 , 0.00060100 
1163 , 0.16351100 
1164 , 0.01112900 
1165 , 0.00351580 
1166 , 0.00662830 
1167 , 0.00026600 
1168 , 0.00001276 
1169 , 0.32126000 
1170 , 0.00200700 
1171 , 0.01153000 
1172 , 0.04366100 
1173 , 0.00112500 
1174 , 0.00090000 
1175 , 0.00840000 
1176 , 0.00408000 
1177 , 0.00852000 
1178 , 0.00447900 
1179 , 0.02091200 
1180 , 0.00100000 
1181 , 0.00014900 
1182 , 0.00061100 
1183 , 0.00079200 
1184 , 0.00095680 
1185 , 0.00296000 
1186 , 0.06000000 
1187 , 0.00100000 
1188 , 0.07014800 
1189 , 0.00054000 
1190 , 0.24423917 
1191 , 0.08622500 
1192 , 0.30598365 
1193 , 0.00095680 
1194 , 0.01622400 
1195 , 0.12807800 
1196 , 0.00150000 
1197 , 0.00200700 
1198 , 0.01728100 
1199 , 0.00100000 
1200 , 0.00095680 
1201 , 0.28255800 
1202 , 0.00010000 
1203 , 0.00095680 
1204 , 0.00623500 
1205 , 0.00128700 
1206 , 1.75174700 
1207 , 0.18150000 
1208 , 0.00112500 
1209 , 0.17600000 
